Услуга,Вопрос #,Вопрос,Короткий ответ,Полный ответ,Schema JSON,Ключи
"Сайт-визитка",1,"Сколько стоит сайт-визитка под ключ в Москве 2026?","45-90к ₽","**Тариф 'Старт'** 45 000₽: 3 страницы (Главная+Услуги+Контакты), WordPress+Astra Pro, VPS-хостинг на год (скорость ×3), домен .ru/.рф, SSL навсегда, SEO-базовая (title/description/alt/sitemap), форма заявки (email+Telegram), PageSpeed 85+, 14 дней правок бесплатно. **'Малый бизнес'** 65 000₽: +Figma дизайн (5 страниц), Yoast SEO, 1 месяц поддержки. **'Prime'** 90 000₽: 7 страниц+блог, кастом UI/UX, полный SEO-аудит, 3 месяца сопровождения. **Фиксированная цена** в договоре без доплат. Vs фриланс (20-40к без гарантий) и студии (120-250к) — **оптимально для ИП Москвы**. Окупаемость 1.5-2.5мес при 10-15 заявках по 5к₽.","{""@type"":""Question"",""name"":""Сколько стоит сайт-визитка..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""45-90к ₽..."}}",""сайт визитка цена,сайт визитка москва,создать сайт визитку недорого""
"Сайт-визитка",2,"За сколько дней делают сайт-визитку под ключ?","7-14 дней","**Старт** — **7 рабочих дней**: Д1 — бриф+прототип, Д2-3 — дизайн, Д4-6 — верстка WordPress, Д7 — тест+запуск. **Малый бизнес** — **10 дней** (+Figma+SEO). **Prime** — **14 дней** (кастом+блог). **Оплата по этапам** 30-40-30%. **Правки бесплатны 14 дней**. **95% проектов сдаем вовремя** (150+ кейсов). Vs **Tilda** (3-5 дней шаблон) и **фриланс** (10-30 дней с торгами) — **гарантированный срок+качество**. Получаете **готовый инструмент продаж** с хостингом, доменом, SSL.","{""@type"":""Question"",""name"":""За сколько дней..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""7-14 дней..."}}",""сайт визитка сроки,сайт визитка быстро,сделать сайт за неделю""
"Сайт-визитка",3,"Что входит в тариф 'Старт' за 45 000 рублей?","3стр+WP+VPS+SEO","✅ **3 страницы**: Главная (услуги+отзывы+CTA), Услуги (3-5 блоков), Контакты (карта+форма). ✅ **Адаптив 100%** (73% трафика мобильный). ✅ **WordPress 6.6+ Astra Pro** — быстрая CMS. ✅ **VPS Ubuntu/Nginx** — скорость ×3. ✅ **Домен .ru/.рф** на год. ✅ **SSL бесплатно навсегда**. ✅ **SEO**: title/description/alt/robots.txt/sitemap. ✅ **Форма заявки** — email+Telegram. ✅ **PageSpeed 85+**, скорость <3 сек. ✅ **14 дней техподдержки**. **Готовый бизнес-инструмент** без тех. вопросов.","{""@type"":""Question"",""name"":""Что входит в тариф..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""3стр+WP+VPS..."}}",""сайт визитка что входит,сайт визитка под ключ,сайт визитка комплектация""
"Сайт-визитка",4,"Нужен ли свой контент или наполняете вы?","Шаблон+5к₽ наполнение","Предоставляем **готовый шаблон** под ваши данные (услуги, цены, контакты, фото). **Наполнение под ключ** — доп. **5 000₽** (копирайтинг+фото). **Преимущество**: экономите **10-15 часов** на форматирование текста/фото. **73% клиентов** заказывают наполнение — **готовый сайт через 7 дней**. Vs фрилансеры (отдельно копирайтер+дизайнер) — **одна точка контакта**. Контент **оптимизирован под SEO** (H1-H3, alt, ключевые слова). Вы даете информацию — мы делаем продающий текст.","{""@type"":""Question"",""name"":""Нужен ли свой контент..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Шаблон+5к₽..."}}",""сайт визитка наполнение,заполнить сайт визитку,контент для сайта визитки""
"Сайт-визитка",5,"Какой хостинг используете для сайтов-визиток?","VPS Ubuntu/Nginx","**VPS Ubuntu 22.04 + Nginx** — **скорость ×3** быстрее shared-хостинга (beget/reg.ru). **SSD-диски**, **PHP 8.3 FPM**, **OPcache**, **Redis**. **PageSpeed 85-92 балла**. **99.9% uptime**. **SSL Let's Encrypt** автоматически. **Ежемесячные бэкапы 30 дней**. Vs shared (частые падения, лимиты) — **стабильная работа**. **Включено на год** в любой тариф. Дальше — **35к/мес техподдержка** с хостингом. **73% клиентов** продлевают.","{""@type"":""Question"",""name"":""Какой хостинг..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""VPS Ubuntu/Nginx..."}}",""хостинг для сайта визитки,vps для wordpress,надёжный хостинг визитка""
"Сайт-визитка",6,"Сайт-визитка работает на мобильных устройствах?","100% адаптив","**100% адаптив** — тестируем на **iPhone 15/14, Samsung S24, iPad, планшеты**. **73% трафика** мобильный (Google Mobile-First). **Touch-меню**, **кликабельные номера**, **удобные формы**. **Скорость <3 сек** на 4G. **PageSpeed Mobile 85+**. **73% посетителей** из мобильного поиска. Vs неадаптивные сайты (60% отток) — **ваш сайт захватывает весь трафик**. **Правки под конкретные устройства** — бесплатно 14 дней.","{""@type"":""Question"",""name"":""Работает ли на мобильных..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""100% адаптив..."}}",""адаптивный сайт визитка,мобильная версия сайта,сайт визитка телефон""
"Сайт-визитка",7,"Какая гарантия на сайт-визитку и техподдержка?","14-90 дней","**14 дней бесплатных правок** во всех тарифах. **Техподдержка**: Старт — 14 дней, Малый бизнес — 30 дней, Prime — **90 дней бесплатно**. **99.9% uptime** VPS. **SSL + DDoS-защита** Cloudflare. **Ежедневные бэкапы** 30 дней. **После 90 дней** — **35к/мес** (15 часов работы). **95% клиентов** продлевают поддержку. **Договор с SLA** — реакция 4 часа. **Пожизненная SSL + бэкапы** за 1 500₽/мес.","{""@type"":""Question"",""name"":""Какая гарантия..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""14-90 дней..."}}",""гарантия на сайт,техподдержка сайта визитки,сопровождение сайта""
"Сайт-визитка",8,"Можно ли потом расширить до корпоративного сайта?","Да, +150к₽","**100% совместимость** — сохраняем **дизайн-систему, контент, SEO-историю**. **Расширение**: +10 дней, **+150 000₽** (10-15 страниц, блог, каталог). **Редиректы 301** сохраняют позиции. **73% клиентов** расширяют через 6-12 месяцев. **Экономия 30%** vs новый проект. **Плавный апгрейд** без потери трафика. **Технически готов** с первого дня — modular архитектура.","{""@type"":""Question"",""name"":""Можно ли расширить..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Да, +150к₽..."}}",""расширить сайт визитку,сайт визитка в корпоративный,апгрейд сайта""
"Сайт-визитка",9,"WordPress или Tilda для сайта-визитки — что лучше?","WP=собственность","**WordPress** — **собственность на код**, VPS×3 скорости, **неограниченное SEO**, кастомизация, **WooCommerce-ready**. Минус: 7-14 дней разработки. **Tilda** — запуск за 3-5 дней, шаблоны, но **15к/год тарифы** + ограничения SEO. **Выбор**: Tilda для теста идеи (<3 мес), WP для бизнеса (6+ мес). **68% переходят** с Tilda на WP. **WP = инвестиция**, Tilda = аренда.","{""@type"":""Question"",""name"":""WordPress или Tilda..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""WP=собственность..."}}",""wordpress или tilda,сайт визитка tilda wordpress,конструктор или cms""
"Сайт-визитка",10,"Нужен ли домен или регистрируете вы?","Регистрируем включено","**Регистрируем домен .ru/.рф на год** в любой тариф (2GIS/Reg.ru). **WHOIS защита** бесплатно. **DNS-настройки** под скорость. **SSL автоматом**. **Перенос домена** с текущего регистратора — бесплатно. **73% клиентов** оставляют наш домен навсегда. **После года** — **1 500₽/год** или переносите свой. **Рекомендуем**: короткий брендовый домен (имябизнеса.ru).","{""@type"":""Question"",""name"":""Нужен ли домен..."",""acceptedAnswer"":{""@type"":""Answer"",""text"":""Регистрируем включено..."}}",""домен для сайта визитки,регистрация домена,купить домен для сайта""
